35121,PT,21,Lisbon,Lisbon,,,,The Capital. Seven Hills. Fado music heritage and Tram 28.
35122,PT,22,Porto,Porto,,,,"'The North'. Port wine cellars. Distinct industrial & independent identity."
35123,PT,23,Coimbra,Coimbra,,,,Oldest University in Portugal. Traditional academic robes (inspiration for Harry Potter).
35124,PT,24,Braga,Braga,,,,"'Rome of Portugal'. Religious center with Bom Jesus sanctuary."
35125,PT,25,Viana do Castelo,Viana do Castelo,,,,Shipbuilding history and traditional filigree jewelry.
35126,PT,26,Alentejo,Évora,,,,"Roman Temple of Diana. Whitewashed towns and cork oak plains."
35127,PT,27,Castelo Branco,Castelo Branco,,,,Embroidery tradition and border castles.
35128,PT,28,Algarve,Faro,,,,Golden cliffs and golf resorts. Major tourism region.
351291,PT,291,Madeira,Funchal,,,,Floating Garden of the Atlantic. Cristiano Ronaldo's home. New Year's fireworks.
351292,PT,292,Azores,Horta,,,,Yachtsman's paradise. Peter Café Sport.
351295,PT,295,Azores,Angra do Heroísmo,,,,UNESCO World Heritage city. Bullfighting tradition.
351296,PT,296,Azores,Ponta Delgada,,,,"Green island (São Miguel). Volcanic lakes and tea plantations."
35191,PT,91,Portugal,Mobile,,,,Vodafone Portugal
35192,PT,92,Portugal,Mobile,,,,TMN (MEO) / Other
35193,PT,93,Portugal,Mobile,,,,NOS (Optimus)
35196,PT,96,Portugal,Mobile,,,,TMN (MEO)
